Item No.,Item Description
X10X1.25X55M10.9Z,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 55, CL 10.9"
X14X80M10.9Z,METRIC CAPSCREW GRADE 10.9 M14-2.0 X 80 HCS ZINC
X20X180M10.9Z,METRIC CAPSCREW GRADE 10.9 ZIN M20-2.5 X 180 HCS
X20X30M10.9Z,METRIC CAPSCREW GRADE 10.9 ZN
X14X140M10.9Z,"HEX CAP SCREW BOLT METRIC ZINC M14-2.0 X 140, CL 10.9"
X10X65M10.9Z,"HEX CAP SCREW BOLT METRIC ZINC M10-1.50 X 65, CL 10.9"
X16X40M10.9Z,METRIC CAPSCREW GRADE 10.9 M16-2.0X 40 HCS ZINC
X10X120M10.9Z,"HEX CAP SCREW BOLT METRIC ZINC M10-1.50 X 120, CL 10.9"
X8X65M10.9Z,"HEX CAP SCREW BOLT METRIC ZINC M8-1.25 X 65, CL 10.9"
X10X40M10.9Z,"HEX CAP SCREW BOLT METRIC ZINC M10-1.50 X 40, CL 10.9"
XTWN2.OL,"THERMASHIELD WRAP 2.00"" 50 FT ROLL"
XBBLU2/0S,"COMPRESSION LUG 2/0 GAUGE, 3/8"" STUD LONG BARREL"
XBLU2/0S,"COMPRESSION LUG 2/0 GAUGE, 3/8"" STUD"
XGXL16D3/10,"GXL WIRE, 16 GA 500' WHITE W/PINK STRIPE"
XGXL16M3/10,"GXL WIRE, 16 GA 1,000' WHITE W/PINK STRIPE"
XPW16X2D2/10,"PRIMARY WIRE PARALLEL 500' SPL 16 GAUGE, 2 CONDUCTOR BLACK AND PINK"
X2CB4408/11,PORTABAND BLADE 8/11 TPI 3/PKG
XDUR720/15,SET OF LEGS FOR 4DRB
XCT705-3/16,DRILL BIT LOCKSMITH
XT9FHD-1-3/16,BRILL BIT 1-3/16  1/2 FLATTED SHANK
X600T-7/16,END MILL TIN COATED 7/16 SHANK 3/8 FLUTE LENGTH
X607CO-5/16,END MILL DOUBLE END COBALT
XCT3-11/16,"CARBIDE TIPPED HOLE CUTTER 11/16"""
XIRR1-3/16,"RETAINING/SNAP RING 1-3/16"""
XRK21-NP3/16,"NOSE THREAD FOR RK21 3/16"""
X705CT-3/16,"CARBIDE TIPPED JOBBER DRILL BIT, 3/16"""
XCT5-1-1/16,"CARBIDE HOLE CUTTER 1-1/16"""
XKLN630-7/16,"KLEIN 7/16"" HOLLOW NUT DRIVER 3"" CUSHIONED"
X1200-3/16,"3/16"" X 12"" DRILL BIT"
XL12-9/16,"DRILL BIT - HD 9/16 1/2"" SHANK 3 FLATS"
XL200-13/16,"ANNULAR CUTTER 13/16"" 2"" DEPTH OF CUT"
XIRR1-15/16,RETAINING RING 1 15/16
XKLN630-5/16,"KLEIN 5/16"" NUT DRIVER CUSHION-GRIP 3"" SHAFT"
XL200-11/16,"ANNULAR CUTTER 11/16"" 2"" DEPTH OF CUT"
XP49903/16,"SOCKET BIT, 3/8"" DRIVE, 3/16"" HEX TIP, CHROME IMPACT"
X5PINRH12/16,"RELAY AND HARNESS, 5 PIN, 12 AWG & 16 AWG WIRES"
XCT200-1-11/16,ANNULAR CUTTER 1-11/16
XKLN630-9/16,"KLEIN 9/16"" HOLLOW SHAFT NUT DRIVER 4"" SHAFT"
XCT5-9/16,"CARBIDE TIPPED HOLE CUTTER 9/16"""
X702-7/16,DRILL BIT #1 MORSE TAPER
X702-9/16,DRILL BIT #2 MORSE TAPER
X702-13/16,DRILL BIT #3 MORSE TAPER
XCT200-13/16,"CARBIDE TIPPED ANNUALAR CUTTER, 2"" CUT DEPTH, 13/16"
X702-11/16,DRILL BIT #2 MORSE TAPER
XCT5-1-3/16,CARBIDE HOLE CUTTER 1-3/16
XL200-1-1/16,"ANNULAR CUTTER 1-1/16"" 2"" DEPTH OF CUT"
XKLN646-5/16,"KLEIN 5/16"" HOLLOW SHAFT NUT DRIVER 6"" SHAFT"
XL100-1-1/16,"ANNULAR CUTTER 1-1/16"", 1"" DEPTH OF CUT, NO PIN"
XAGC3/16,"FUSE - AGC 1/4"" X 1-1/4"", 3/16 AMP"
XIRR1-11/16,RETAINING RING INTERNAL 1 11/16
XIRR1-9/16,RETAINING RING INTERNAL 1-9/16
XIRR1-1/16,RETAINING/SNAP RING
XK35/25,"RUBBER HOLE PLUG 3/4"" WITH 1-1/2"" OUTER DIAMETER"
XRK21-NP5/32,"NOSE THREAD FOR RK21 1/8"""
X105-5/32,"SOLID CARBIDE JOBBER 5/32"""
X105-7/32,"SOLID CARBIDE JOBBER 7/32"""
X164PL-5/32,"PUSH TO CONNECT, NON-DOT, NICKEL PLATED BRASS, UNION TEE 5/32"" TUBE"
XCT5-1-7/32,"CARBIDE HOLE CUTTER 1-7/32"""
XL12-17/32,"DRILL BIT - HD 17/32 1/2"" SHANK 3 FLATS"
X62PL-4-5/32,PRESTOLOK BRASS UNION 1/4 TO 5/32
XD1/3N,"3.0 V BATTERY, PACK OF 3"
X1200-11/64,"12"" 11/64 DRILL BIT"
XDB7006-11/64,"EXTENDED DRILL BIT, 11/64"", 6"" LENGTH, HSS, BLACK OXIDE"
XL12-33/64,"DRILL BIT - HD 33/64 1/2"" SHANK 3 FLATS"
X1200-21/64,"12"" 21/64 DRILL BIT"
