Item No.,Item Description
X32PLP-12M,"PUSH TO CONNECT, NON-DOT, COMPOSITE UNION 12MM TUBE"
XHCLW12M,"LOCKWASHER HIGH COLLAR METRIC ZINC , M12"
XATR12M,"THREADED ROD  PLAIN M12-1.75, GRADE A, 1 METER LENGTH"
X10SLN12M,LOCK NUT STOVER CLASS 10 M12-1.75
X7X12M,"HEX CAP SCREW BOLT METRIC ZINC M7-1.0 X 12, CL 8.8"
XFN12M,HEX FLANGE NUT METRIC  M12-1.75
BP12M,"DRILL BIT - HD 3 FLATS MECHANICS LENGTH, 1/2"""
XIRR12M,RETAINING RING INTERNAL
X8SLN12M,LOCK NUT STOVER ZINC M12-1.75
BN18112M,"BRAD NAIL 18 GA 1-1/2"" LONG 5,000 BOX"
8X12M,"HEX CAP SCREW BOLT METRIC ZINC M8-1.25 X 12, CL 8.8"
LW12M,LOCK WASHER SPLIT METRIC ZINC M12
5X12M,"HEX CAP SCREW BOLT METRIC ZINC M5-.80 X 12, CL 8.8"
4X12M,"HEX CAP SCREW BOLT METRIC ZINC M4-.70 X 12, CL 8.8"
BN1812M,"BRAD NAIL 18 GA 1/2"" LONG, 5,000/BOX"
FW12M,FLAT WASHER METRIC ZINC M12
6X12M,"HEX CAP SCREW BOLT METRIC ZINC M6-1.0 X 12, CL 8.8"
XM2.5X12P,METRIC MACH. SCREW PHILLIPS PAN HD M2.5-0.45 X 12
FBATC12P,FUSE BLOCK FOR ATC BLADE TYPE FUSES AND CIRCUIT BREAKERS
X14X12P,"TRAILER CABLE 14 GAUGE, 12 CONDUCTOR, 600V, SOOW"
XM3.5X12P,METRIC MACH. SCREW PHILLIPS PAN HD M3.5-0.60 X 12
X5618X12P,MACHINE SCREW PHILLIPS PAN
XHD10-6-12P,DEUTSCH HD10 SERIES PIN HOUSING 6 CAVITY
XM2X12P,METRIC MACH. SCREW PHILLIPS PAN HD M2-0.40 X 12
X6X112P,METAL SCREW PAN HEAD PHILLIPS ZINC PLTD
XWM-12P,DEUTSCH WEDGE DTM SERIES 12 CAVITY PIN-SIDE
X4X12P,"METAL SCREW PAN HEAD PHILLIPS #4 X 1/2"""
X14X212P,METAL SCREW PAN HEAD PHILLIPS
X12X212P,METAL SCREW PAN HEAD PHILLIPS
XM3X12P,METRIC MACH. SCREW PHILLIPS PAN HD M3-0.50 X 12
XDTW12P,"DEUTSCH WEDGE 12 CAVITY , PIN-SIDE"
10X212P,"SHEET METAL SCREW PHIL PAN HD #10 X 2-1/2"""
12X12P,"SHEET METAL SCREW PHIL PAN HD #12 X 1/2"""
14X112P,"SHEET METAL SCREW PHIL PAN HD #14 X 1-1/2"""
8X212P,"SHEET METAL SCREW PHIL PAN HD #8 X 2-1/2"""
8X112P,"SHEET METAL SCREW PHIL PAN HD #8 X 1-1/2"""
14X12P,"SHEET METAL SCREW PHIL PAN HD #14 X 1/2"""
12X112P,"SHEET METAL SCREW PHIL PAN HD #12 X 1-1/2"""
8X12P,"SHEET METAL SCREW PHIL PAN HD #8 X 1/2"""
10X112P,"SHEET METAL SCREW PHIL PAN HD #10 X 1-1/2"""
XM4X12P,METRIC MACH. SCREW PHILLIPS PAN HD M4-0.70 X 12
XM6X12P,METRIC MACH. SCREW PHILLIPS PAN HD M6-1.0 X 12
10X12P,"SHEET METAL SCREW PHIL PAN HD #10 X 1/2"""
6X12P,"SHEET METAL SCREW PHIL PAN HD #6 X 1/2"""
XM5X12P,METRIC MACH. SCREW PHILLIPS PAN HD M5-0.80 X 12
XBPP112S,"BLACK PIPE PLUG SOLID 1-1/2"""
XHD16-6-12S,DEUTSCH HD10 SERIES SOCKET HOUSING 6 CAVITY
XDTM06-12S,DEUTSCH SOCKET HOUSING 12 CAVITY
XWM-12S,DEUTSCH WEDGE DTM SERIES 12 CAVITY SOCKET-SIDE
XDTW12S,"DEUTSCH WEDGE 12 CAVITY , SOCKET-SIDE"
8X312T,"SCREW, HEX HEAD, SELF DRILLING, #8 X 3-1/2"", ZINC"
X14X412T,"TEK SCREW HEX WASHER HD 1/4"" X 4-1/2"""
X38X112T,"TEK SCREW HEX WASHER HD 3/8"" X 1-1/2"" ZINC"
X56X112T,"TEK SCREW HEX WASHER HD 5/16"" X 1-1/2"""
X10X212T,"TEK SCREW HEX WASHER HD #10 X 2-1/2"""
X6X12T,"TEK SCREW HEX WASHER HD #6 X 1/2"""
14X12T,"TEK SCREW HEX WASHER HD 1/4"" X 1/2"""
X14X212T,"TEK SCREW HEX WASHER HD 1/4"" X 2-1/2"""
8X112T,"TEK SCREW HEX WASHER HD #8 X 1-1/2"""
10X12T,"TEK SCREW HEX WASHER HD #10 X 1/2"""
8X12T,"TEK SCREW HEX WASHER HD #8 X 1/2"""
X12X212T,"TEK SCREW HEX WASHER HD #12 X 2-1/2"""
12X112T,"TEK SCREW HEX WASHER HD #12 X 1-1/2"""
14X112T,"TEK SCREW HEX WASHER HD 1/4"" X 1-1/2"""
10X112T,"TEK SCREW HEX WASHER HD #10 X 1-1/2"""
X871-1C-C-R1-U01-12V,"RELAY 12 V, SPDT NO BRACKET W/RESISTOR, 35 AMPS"
XRV6607-06-12W,RIVET SHAVER HEAD ALUM/ALUM 3/16 DIAM. GR. RANGE .563-.750
CONSP2X12W,"TAPE, CONSPICUITY 2"" X 12"", WHITE"
X5012X,TRIPLE STRIKER FLINT REFILL 4/CARD
T12X,"PLASTIC CAP FOR 3/4"" TUBE, 3/4"" PIPE"
XCSFW12Z,FINISH WASHER COUNTER-SUNK #12
XFM11-3,"FOSTER 1/4"" STEEL PLUG 1/4"" FPT"
XPHS1-3,"HEAT SHRINK 1"" ID,  WHITE, 4 FOOT STICK"
X1-968851-3,"TERMINAL TE MCP CONNECTOR SYSTEM 2.8MM TAB WIDTH, 16-14 GAUGE, FEMALE"
XSIKA521-3,SIKAFLEX 521 UV RESISTANT LOW MODULUS SEALANT 300ML CARTRIDGE
XKLN601-3,"KLEIN 3/16"" CABINET TIP SCREWDRIVER 3"""
XCX1-3,SCREW EXTRACTOR #3
XSIKA221-3,SIKAFLEX NON-SAG ADHESIVE POLYURETHANE 10.3 OZ WHITE
XPW18M4SID1-3,"PRIMARY WIRE GPT 1,000' SPOOL 18 GAUGE, BROWN"
EP11-3,"SPRAY PAINT-SEYMOUR NET WT 10 OZ, GLOSS BLACK"
X2503-12-13,"3/4"" MALE JIC X 1"" MALE PIPE 45 DEGREE"
X901420-13,E-Z LOK HEX THREADED INSERT 1/4-20 ZINC ALLOY
X901024-13,E-Z LOK HEX THREADED INSERT 10-24 ZINC ALLOY
X12CL-13,"SPLIT LOOM 1/2"" BLACK 13 FOOT CUT"
XAS-B-13,PARTEK SLEEVING BLACK 50 FEET PER BOX
XUA20130,DT 6 X 1/8 X 5/8-11 ULTPIPE
XUA60130,QS BELT 3/4 X 20-1/2 1A-X 50
XUA64130,QS BELT 3/4 X 20-1/2 Z-H 50
XUA45130,CARB BUR SC5 1/2 X 1 X 1/4
XUA34130,"ZF PSA DISC 6"" 40X"
XUA35130,"8"" PSA DISC 150X"
XUA72130,4.5x3/4x5/8-11 FLAP WHEEL 40X
XUA85130,18 X 2 12X FLOOR SAND DISC
XGXL14D1PW130,"FAN MEDIUM, GXL WIRE 14 GA RED 500'"
CHATT130,WHITE PAINTABLE CAULK DAPP18101
XHR12130,"ANNULAR CUTTER 15/16"" 1"" DEPTH OF CUT, 3/4"" SHANK"
X15305130,"TERMINAL, FEMALE, 22-20 AWG"
XCRC02130,QD CONTACT CLEANER 11 OZ. NET WT
XPW14D5PW130,FAN MEDIUM PRIMARY WIRE 500' SPOOL YELLOW
XGXL14D5PW130,FAN MEDIUM 14 GAUGE  YELLOW 500' SPOOL
XUA50130,SAIT-LOK DISC 5 X 7/8 60 GRIT
XA19130,AUVECO OIL DRAIN PLUG 15/BOX
XUA95130,SPIRAL BAND DRUM 1 X 1 X 1/4
XVSM9130,"PIGTAIL, MOLDED 2 WIRE RIGHT ANGLE"
XKLN44130,KLEIN AUTO-LOADING FOLDING UTILITY KNIFE
X130,"INTERNAL SEAT, DRAIN COCK, 1/8"" MALE PIPE"
XA11130,"AUVECO HOOD RETAINER 2""HEAD, 3/4""L, 5/16""DIA. 25/BX"
XUA22130,CUTTING WHEEL TYPE 27 4 1/2 X 1/8 X 5/8-11
MS1130,"MIG TIP TWECO STYLE 160-180 AMP, STANDARD .030"""
OR130,"O RING 1-5/8"" I.D. 1-13/16""OD, 3/32""THK"
XUA60131,QS BELT 3/4 X 20-1/2 1A-X 60
XUA64131,QS BELT 3/4 X 20-1/2 Z-H 60
XUA78131,OVATION 5 X 5/8-11 Z 120X
XUA79131,ENCORE T29 5 X 7/8 Z120X
XUA85131,18 X 2 16X FLOOR SAND DISC
XUA50131,2A 5 X 5/8-11 80X SAITLOK
XLOC27131,LOCTITE RED THREADLOCKER 50ML
XGXL14D1PW131,FAN LOW 14 GAUGE  RED 500' SPOOL
CHATT131,BLU BLOCK THREAD SEALENT HERC-15711
XPW14D1PW131,FAN LOW PRIMARY WIRE 500' SPOOL RED
XH996452131,"RELAY 12 V, TIME DELAY NO BRACKET 20 AMPS"
XCGW60131,"KNOT WIRE END BRUSH, 1"" DIAMETER X 1"" TRIM LENGTH , 0.20"" WIRE DIAMETER, 1/4"" SHANK"
XDUR131,PARTS BOX LARGE ADJUSTABLE
XM131,MILTON SAFETY BLO-GUN
XM840131,"HOSE CLAMP  - T-BOLT 1-5/32"" MIN - 1-15/32"" MAX"
XQC123131,"POWER POLE CONTACTS 8 GAUGE, 75 AMPS"
XA22131,AUVECO NYLON RIVET 25/BOX
XA10131,"AUVECO E RING CLIP 5/32"" 100/BOX"
OR131,"O RING 1-11/16"" I.D. 1-7/8""OD, 3/32""THK"
XGXL14D5PW131,"FAN LOW, GXL WIRE 14 GA YELLOW 500'"
XCT605-1132,"DIE DRILL 11/32"""
XUA64132,QS BELT 3/4 X 20-1/2 Z-H 80
XUA38132,1X2X1/4 ST.C-ROLL 60X
XUA58132,BL BELT 4 X 24 Z-H 36
XUA34132,"ZF PSA DISC 6"" 60X"
XUA35132,"8"" PSA DISC 220X"
XUA50132,2A 5 X 5/8-11 100X SAITLOK
XUA72132,4.5x3/4x5/8-11 FLAP WHEEL 60X
XUA85132,18 X 2 20X FLOOR SAND DISC
BSM1132,"DRILL BIT - BLITZ STORM 3 MECHANIC LENGTH, 11/32"""
XM39132,PRT TORSION SPRING
XQC123132,POWER CONTACT 6 GAUGE 75 AMPS
XPW18X3M132,"BONDED PRIMARY WIRE PARALLEL, 18 GA 3 CONDUCT, RED, WHITE & BLACK"
XGXL14D10PW132,A/C  14 GAUGE PINK 500' SPOOL
XPW14D10PW132,A/C PRIMARY WIRE 500' SPOOL PINK
XCGW35132,"QUICKIE CUT, TYPE 27, 4-1/2"" X .045"" X 7/8"" ARBOR"
CHATT132,MAXI FLEX GLOVES XLG PER DZ
XA16132,AUVECO TRIM PANEL RETAINER 25/BOX
XTIM1132,DRILL BIT MECHANICS LENGTH 11/32
XBA988132,HEAVY DUTY CAULKING GUN
XT4D1132,DRILL BIT STUBBY 11/32
XAP50132,"JB WELD PLASTICWELD QUICK SETTING EPOXY SYRING, TRANSLUCENT YLW, 25ML"
XA18132,"AUVECO CONSTANT TENSION HOSE CLAMP 1-15/32"" - 1-3/4"" RANGE 5/BOX"
OR132,"O RING 1-3/4"" I.D. 1-15/16""OD, 3/32""THK"
TID1132,"DRILL BIT-HEAVY DUTY JOBBER LENGTH, 11/32"""
VG2132,"VINYL GROMMET 25/64"" ID, 21/32"" DRILL"
TIHD1132,"DRILL BIT - HD BLACK GOLD JOBBER LENGTH, 11/32"""
XT9FHD2132,DRILL BIT HEAVY DUTY 21/32 WITH 1/2  SHANK
XUA61133,QS BELT 1-1/2 X 60 1A-X 36
XUA34133,"ZF PSA DISC 6"" 80X"
XUA38133,1X2X1/4 ST.C-ROLL 80X
XUA59133,9S 5 X 7/8 80X BULK DISC
XUA85133,18 X 2 36X FLOOR SAND DISC
XUA35133,"8"" PSA DISC 240X"
XUA50133,2A 5 X 5/8-11 120X SAITLOK
XUA58133,BL BELT 4 X 24 Z-H 40
XUA72133,4.5x3/4x5/8-11 FLAP WHEEL 80X
XKLN44133,KLEIN KLEIN-KURVE® RETRACTABLE UTILITY KNIFE
XGXL14D1PW133,HEAT 14 GAUGE  RED 500' SPOOL
CHATT133,GREASE GUN MANUAL PISTOL GRIP
XM50133,MAXXIMA GROMMET FOR m09300
XPW14D1PW133,HEAT PRIMARY WIRE 500' SPOOL RED
XUA95133,SPIRAL BAND DRUM 1-1/2 X 1 X 1/4
PW8B1-133,"PRIMARY WIRE GPT 8 GAUGE, RED, BULK, 133 STRAND"
PW8B2-133,"PRIMARY WIRE, BLACK, BULK"
PW8C1-133,"PRIMARY WIRE GPT 100' SPOOL 8 GAUGE, RED, 133 STRAND"
PW8C2-133,"PRIMARY WIRE GPT 100' SPOOL 8 GAUGE, BLACK, 133 STRAND"
OR133,"O RING 1-13/16""ID, 2""OD, 3/32""THK"
XM134,"MILTON SAFETY GUN 15"" EXTENSION"
XUA58134,BL BELT 4 X 24 Z-H 50
XUA61134,QS BELT 1-1/2 X 60 1A-X 40
XUA38134,1X2X1/4 ST.C-ROLL 120X
XUA77134,"SAND-LIGHT DISC 6"" BLUE"
XUA50134,2A 7 X 5/8-11 24X SAITLOK
XUA85134,18 X 2 40X FLOOR SAND DISC
XA22134,AUVECO OIL DRAIN PLUG WASHERS 5/BOX
CHATT134,PLASTIC PROTECTIVE SLEEVE 3/4 7277-1155
XN12134,"12"" ROUND BASTARD FILE"
XMK4255131134,"BAND SAW BLADE, M42, 9'-5-1/2"" L X 1"" WIDE X .035 X 10/14 TOOTH"
XEXSL134,"EXPANDABLE SLEEVING 1 3/4; 1-1/4"" - 2 3/4  RANGE"
XLW134,"LOCK WASHER SPLIT USS ZINC 1-3/4"""
XPW14D2PW134,INVERTER PRIMARY WIRE 500' SPOOL BLACK
1420X134,"MACHINE SCREW PHILLIPS PAN HD ZINC 1/4""-20 X 1 3/4"""
XMC56X134,"MUFFLER CLAMP 5/16 X 1-3/4"" STANDARD DUTY"
XA12134,AUVECO TRIM PANEL FASTENER 50/BOX
XA10134,AUVECO E CLIPS 100/BOX
XUA95134,SPIRAL BAND DRUM 1 1/2 X 1 1/2 X 1/4
XV020134,VELVAC 1/4  BLUE NYLON AIR BRAKE TUBING 100 FT
XCT7-134,CARBIDE TIPPED HOLE SAW
X1024X134,"MACHINE SCREW PHILLIPS PAN HD 10-24 X 1-3/4"" ZINC"
XA18134,AUVECO NITRILE O RINGS 25/BOX
X632X134,MACHINE SCREW PAN HEAD PHILLIPS
X832X134,"MACHINE SCREW PHILLIPS PAN HD #8-32 X 1-3/4"""
XERR134,"RETAINING RING EXTERNAL, 1-3/4"""
XIRR134,"RETAINING RING INTERNAL 1-3/4"""
XCT5-134,"CARBIDE HOLE CUTTER 1-3/4"""
C134,"CLAMP RUBBER CUSHIONED 1-34"" DIAMETER, 1/4"" STUD"
OR134,"O RING 1-7/8""ID, 2-1/16""OD, 3/32""THK"
BHS134,"HOLE SAW, BI-METAL 1-3/4"" DIAMETER"
XDOR097-134,"OIL DRAIN PLUG GASKET, COPPER  M12"
XUA58135,BL BELT 4 X 24 Z-H 60
XUA78135,OVATION 6 X 5/8-11 Z 36X
XUA20135,DT 7 X 1/8 X 5/8-11 ULTPIPE
XUA24135,TM 14 X 1/8 X 1 SAIT PRO
XUA34135,"ZF PSA DISC 6"" 120X"
XUA45135,CARB BUR SE5 1/2 X 7/8 X 1/4
XUA50135,2A 7 X 5/8-11 36X SAITLOK
XUA35135,"8"" PSA DISC 320X"
XUA72135,4.5x3/4x5/8-11 FLAP WHEEL 120X
XUA85135,18 X 2 60X FLOOR SAND DISC
CHATT135,PLASTIC PROTECTIVE SLEEVE 1/2 7277-1153
XGXL14D1PW135,BATTERY SWITCH 14 GAUGE RED 500' SPOOL
X518135,"HEAVY WALL, TIN PLATED CHAMFERRED ENDS, 2 GA, 3/8"" BRAZED BARREL"
XD8135,BLACK NYLON SHIELD RETAINER ASSORTMENT
XA24135,"TEK SCREW PHILLIPS PAN HEAD #14 X 1 BLACK OXIDE, 100/BX"
XCGW70135,6X1X1 8A-MEDIUM BOX OF 2
XPW14D1PW135,BATTERY SWITCH PRIMARY WIRE 500' SPOOL RED
XV032135,VELVAC DRAIL PULL VALVE 1/4 PIPE  3' CABLE
XA18135,AUVECO NITRILE O RINGS 25/BOX
MS1135,"MIG TIP TWECO STYLE 160-180 AMP, STANDARD .035"""
X135,"EXTERNAL SEAT, DRAIN COCK, 1/8"" MALE PIPE"
OR135,"O RING 1-15/16""ID, 2-1/8""OD, 3/32""THK"
XUA58136,BL BELT 4 X 24 Z-H 80
XUA61136,QS BELT 1-1/2 X 60 1A-X 60
XUA78136,OVATION 6 X 5/8-11 Z 40X
XUA77136,"SAND-LIGHT DISC 7"" BROWN"
XUA35136,"9"" PSA DISC 24X"
XUA50136,2A 7 X 5/8-11 50X SAITLOK
XUA85136,18 X 2 80X FLOOR SAND DISC
XCHX2M136,MAGNETIC HEX SHANK REAMER CAR LENGTH
XGXL14D4PW136,CLEARANCE 14 GAUGE  BROWN 500' SPOOL
CHATT136,PLASTIC PROTECTIVE SLEEVE 3/8 7277-1152
XEM59136,"ERICKSON E-TRACK STRAP WITH RATCHET- 2"" WIDE X 12 FT LONG   1165 LBS"
PW18X3D-136,"PRIMARY WIRE GPT 500' SPOOL, 18 GAUGE RED, WHITE, BLUE TAPED 3' INTERVALS"
XPW14D4PW136,CLEARANCE 14 GAUGE BROWN  500' SPOOL
X20136,"PUSH BROOM 36"" PALMYRA BRISTLE 120236"
XHR11136,HOUGEN ROTABROACH CUTTER 13/16
XTR98136,SCREW EXTRACTOR #6
XA11136,AUVECO HOOD RETAINER  25/BX
XA18136,AUVECO A/C O RINGS 25/BOX
XV020136,"AIR BRAKE TUBING - NYLON 3/8"" X 100', BLUE"
OR136,"O RING 2""ID, 2-3/16""OD, 3/32""THK"
XERR136,"RETAINING/SNAP RING 1-3/16"""
XUA61137,QS BELT 1-1/2 X 60 1A-X 80
XUA35137,"9"" PSA DISC 36X"
XUA50137,2A 7 X 5/8-11 60X SAITLOK
XUA85137,18 X 2 100X FLOOR SAND DISC
XEP1512137,BATTERY TERMINAL - TOP POST BRASS 3 WAY 2-4/0 GAUGE NEGATIVE
XPW14D5PW137,RIGHT TURN 14 GAUGE YELLOW 500' SPOOL
XGXL14D5PW137,RIGHT TURN 14 GAUGE YELLOW 500' SPOOL
XUA95137,SPIRAL BAND DRUM 2 X 2 X 1/4
XQC141137,"SOLDER COMPRESSION LUG 1/0 GAUGE, 1/2"" STUD"
X0332209137,"RELAY 12 V, SPDT NO BRACKET 2/RESISTOR 50 AMPS"
XTR98137,"SCREW EXTRACTOR #7 7/8-1-1/8"""
XHEY2137,HEYCO SNAP GROMMET BLACK
XA18137,AUVECO NITRILE O RINGS 25/BOX
XA12137,AUVECO PANEL RETAINER 25/BOX
OR137,"O RING 2-1/16""ID, 2-1/4""OD, 3/32""THK"
XUA61138,QS BELT 1-1/2 X 60 1A-X 100
XUA78138,OVATION 6 X 5/8-11 Z 60X
XUA37138,"9"" ZIRC PSA DISC 40X"
XUA50138,2A 7 X 5/8-11 80X SAITLOK
XCT7-138,CARBIDE TIPPED HOLE SAW
CHATT138,BANDSAW BLADE 7' 9 1/2 X 3/4 X .035 X 10/14T CL815931
XBTC.072X138,"BOW TIE COTTER PIN -  ZINC .072"" X 1-3/8"""
XEP1512138,BATTERY TERMINAL - TOP POST BRASS 3 WAY 2-4/0 GAUGE POSITIVE
XPW14D7PW138,LEFT TURN 14 GAUGE GREEN 500' SPOOL
XGXL14D7PW138,LEFT TURN 14 GAUGE GREEN 500' SPOOL
XSFW138,"SAE FLATWASHER ZINC, 1-3/8"""
XS16138,"HAND APPLICATOR, BLUE"
XV020138,"VELVAC AIR BRAKE TUBING 1/2"" BLUE 100 FT"
X0332209138,"RELAY 12 V, SPDT BRACKET W/ RESISTOR 50 AMPS"
XT9FHD138,BRILL BIT 1-3/8  1/2 FLATTED SHANK
WD120138,WD40 - RV RUBBER SEAL CONDITIONER
XA18138,AUVECO NITRILE O RINGS 25/BOX
XERR138,"RETAINING RING EXTERNAL 1-3/8"""
XIRR138,"RETAINING RING INTERNAL, 1-3/8"""
XML138,"MAGNUM LUG 1-2 GAUGE 3/8"" STUD"
L138,"BATTERY TERMINAL COPPER LUG 1 GAUGE. 3/8"" STUD"
VG138,"VINYL GROMMET 1"" ID, 1-3/8"" DRILL"
OR138,"O RING 2-1/8""ID, 2-5/16""OD, 3/32""THK"
BHS138,"HOLE SAW, BI-METAL 1-3/8"" DIAMETER"
CL138,"COMPRESSION LUG 1 GAUGE, 3/8"" STUD"
RCC138,"CLAMP RUBBER COATED 1"" DIAMETER, 3/8"" STUD"
C138,"CLAMP RUBBER CUSHIONED 1-3/8"" DIAMETER, 1/4"" STUD"
XUA78139,OVATION 6 X 5/8-11 Z 80X
XUA35139,"9"" PSA DISC 50X"
XUA37139,"9"" ZIRC PSA DISC 50X"
XUA50139,2A 7 X 5/8-11 100X SAITLOK
CHATT139,MICA SHEET-UNIVERSAL 150X120MM 10/PACK
XPW14D3PW139,REVERSE 14 GAUGE WHITE 500' SPOOL
XGXL14D3PW139,REVERSE 14 GAUGE  WHITE 500' SPOOL
XUA61139,ABRASIVE BELT 1-1/2 X 60 60 GRIT
X12052139,METRI-PACK 480 SERIES TERMINAL 12-10 GAUGE FEMALE
XHSP16-139,"SPRAY PAINT - SEYMOUR HI-TECH NET WT 12 OZ, SEMI GLOSS BLACK"
VSM9139,"RUBBER MOUNTING GROMMET 2"" LAMP"
XA18139,AUVECO A/C O RINGS 25/BOX
OR139,"O RING 2-3/16""ID, 2-3/8""OD, 3/32""THK"
DDHD13A,"ASSORTMENT- HD DRILL BITS 13 PCS, 1/16""-1/4"" BY 64THS"
EF13A,FLASHER - ALTERNATING 3 PRONG SQUARE
XQC6313F,"COMPRESSION LUG 3/0 GAUGE, 3/8"" STUD RIGHT ELBOW"
X8SLN1213F,"LOCK NUT STOVER PLAIN 1/2""-13 FLANGED"
XM42213R,"LED RECTANGULAR PARK,FRONT, REAR TURN RED"
T13X,"PLASTIC CAP FOR 3/4"" TUBE, 3/4"" PIPE"
XKLN601-4,"KLEIN 3/16"" CABINET TIP SCREWDRIVER 4"""
XCX1-4,SCREW EXTRACTOR #4
X431-4,HOSE HYDRAULIC 1/4 I.D.
XDCR601-4,"DRAIN COCK, 1/4"" MALE PIPE, INTERNAL SEAL, ELIPTICAL BRASS HANDLE"
XGPE90-14,"GALVANIZED PIPE 90 DEGREE ELBOW 1/4"""
XRG214-14,"RUBBER GROMMET 2-1/4"" ID, 1/4"" GROOVE"
X3805-06-14,"SS PUSH-IN FITTINGS 1/4"" TUBE TO MALE NPT 6MM PORT"
X3805-12-14,"SS PUSH-IN FITTINGS 1/4"" TUBE TO MALE NPT 12MM PORT"
BR7-14,"RIVET BRAKE LINING STEEL 3/16 DIAMETER 7/8"" LONG"
C6SPC-14,"CAT6 PATCH CABLE SHIELDED 550MHZ , 14 FT, SNAGLESS, BLUE"
X3805-10-14,"SS PUSH-IN FITTINGS 1/4"" TUBE TO MALE NPT 10MM PORT"
XGPE45-14,"GALVANIZED PIPE 45 DEGREE ELBOW 1/4"""
XM1864-14,"TWIST LOCK UNIVERSAL COUPLER, 2"" FNPT"
XML5-14,TERMINAL MULTI-LINK BUTT 14-16 GAUGE
XMLF56-14,TERMINAL MULTI-LINK STEP DOWN BUTT 10-12 GAUGE TO 14-16 GAUGE
XML116-14,"TERMINAL MULTILINK RING 18-20 GAUGE 1/4"" STUD"
XKLN646-14,"KLEIN 1/4"" HOLLOW SHAFT NUT DRIVER 6"" SHAFT"
XAPDC-14,SEAFOAM DEEPCREEP PENETRATING OIL 12 OZ. AEROSOL
XTSM8-14,DRILL BIT DOUBLE ENDED 1/4
XHHM-14,"FUSE HOLDER - ATM/MINI 20 AMP,  14 GAUGE WIRE LEADS W/COVER"
XRG212-14,"RUBBER GROMMET 1""ID, 1-3/8""DRILL, 1/16""GRV"
XT5520-14,"TAPE PTFE THRD SEAL 1/4"""
XLN1-14,"LOCK NUT NYLON UNF 1""-14 GR 2"
XRG2-14,"RUBBER GROMMET 2""ID, 2-1/2""DRILL, 1/4""GRV"
XML110-14,TERMINAL MULTI-LINK RING 10-12 GAUGE 1/4 STUD
XML114-14,TERMINAL MULTI-LINK RING 14-16 GAUGE 1/4 STUD
XELA114-14,"TERMINAL RING SOLDER 16-14 GAUGE 1/4"" STUD"
XELA116-14,"TERMINAL SOLDER RING 22-18 GAUGE, 1/4"" STUD"
XELA110-14,"TERMINAL SOLDER RING 10-12 GAUGE 1/4""  STUD"
XRG38-14,RUBBER GROMMET 3/8 I.D. 1/4 GROOVE 1/2 DRILL
XRG112-14,RUBBER GROMMET 1-1/2 I.D. 1/4 GROOVE 1-3/4 DRILL
XRG134-14,RUBBER GROMMET 1-3/4 I.D. 1/4 GROOVE 2 DRILL
XKS56-14,HEAT SHRINK STEP DOWN BUTT CONNECTOR 16-14 TO 12-10 100
X853009-14,COPPER WASHER FOR AM BANJO BOLT
RG1116-14,"RUBBER GROMMET 11/16""ID, 1""DRILL, 1/4""GRV"
RG1-14,"RUBBER GROMMET 1""ID, 1-3/8""DRILL, 1/4""GRV"
RG58-14,"RUBBER GROMMET 5/8""ID, 7/8""DRILL, 1/4""GRV"
RG78-14,"RUBBER GROMMET 7/8""ID,  1-1/4""DRILL, 1/4""GRV"
XBPE45-14,"BLACK PIPE 45 DEGREE ELBOW 1/4"""
XBPE90-14,"BLACK PIPE 90 DEGREE ELBOW 1/4"""
RG12-14,"RUBBER GROMMET 1/2""ID, 13/16 DRILL, 1/4""GRV"
RG34-14,"RUBBER GROMMET 3/4""ID, 1-1/16""DRILL, 1/4""GRV"
RG14-14,"RUBBER GROMMET 1/4""ID, 7/16""DRILL, 1/4""GRV"
RG56-14,"RUBBER GROMMET 5/16""ID,3/4""DRILL, 1/4""GRV"
RG36-14,"RUBBER GROMMET 3/16""ID, 5/16""DRILL, 1/4""GRV"
XWPATCFH-14,FUSE HOLDER - ATO/ATC  14 GAUGE WIRE LEADS WATERPROOF
XUA22140,DT 5 X 1/8 X 5/8-11 PIPE
XUA77140,"SAND-LIGHT DISC 7"" BLUE"
XUA20140,DT 9 X 1/8 5/8-11 ULTPIPE
XUA24140,TM 14 X 1/8 X 20MM SAIT PRO
XUA28140,VW 10 X 1 X 1-1/4 GC60
XUA35140,"9"" PSA DISC 60X"
XUA37140,"9"" ZIRC PSA DISC 60X"
XUA50140,2A 7 X 5/8-11 120X SAITLOK
XUA72140,5x3/4x5/8-11 FLAP WHEEL 40X
XUA85140,20 X 2 12X FLOOR SAND DISC
XUA95140,SPIRAL BAND DRUM 3 X 3 X 1/4
XGXL14D10PW140,START 14 GAUGE  PINK 500' SPOOL
CHATT140,KEY BLANK W/PLASTIC HEAD TR47PH
XUA34140,"ZF PSA DISC 8"" 40X"
XPW14D10PW140,START 14 GAUGE PINK 500' SPOOL
X91CT140,"CARBIDE TIP ANNULAR CUTTER, 5/8"", 1-3/8"" DEPTH OF CUT"
XM30140,"GARDEN HOSE, BRASS,  Y CONNECTOR 3/4"""
XUA04140,4 INCH 180X NYLON BRUSH WHEEL
XHEY2140,"HEYCO SNAP BUSHING, SB 1000-12 BLK"
XHR11140,"HOUGEN ROTABROACH CUTTER 7/8"""
XBA871140,FIRST AID KIT GENERAL PURPOSE 10 PERSON
XA7603-140,COPPER WASHER ASSORTMENT - 150 PIECE
